kq,sl,mean_reward
773.2374116118459,812,0.9522628221820763
895.951329115981,924,0.969644295580066
809.1123455509962,840,0.963228982798805
981.3516226780703,1061,0.9249308413553914
866.577770669339,875,0.9903745950506732
931.2167305579628,964,0.9659924590850236
851.0002870969129,857,0.9929991681410886
829.652291274319,846,0.9806764672273275
847.0217567195255,858,0.9872048446614515
925.9567739384566,976,0.9487262028057958
968.3896326365415,1079,0.8974880747326612
850.4100889795259,859,0.9900001035850127
821.2970737627235,857,0.9583396426636214
845.7506448648348,864,0.9788780611861514
942.5173364381359,1013,0.9304218523574885
803.3973153352242,833,0.9644625634276401
999.427327820542,1097,0.911054993455371
900.2043642531826,925,0.973193907300738
944.8206083725132,953,0.991417217599699
997.5340466831274,1088,0.9168511458484626
819.2206160302939,864,0.9481720092943215
807.5416192163591,826,0.9776532920294905
967.5887281864241,1094,0.8844503913952688
834.2451106507729,849,0.982620860601617
823.8039544502486,850,0.9691811228826455
829.7882435849998,860,0.9648700506802323
889.3695176613753,1022,0.8702245769680776
884.9216059545996,973,0.909477498411716
943.224147249232,1055,0.894051324406855
913.3457471893504,946,0.9654817623566072
899.7540090012961,920,0.9779934880448871
889.3527586086775,942,0.944111208714095
990.7370205587133,1090,0.9089330463841406
944.9104371114743,994,0.9506141218425295
927.7964227677328,987,0.9400166390757171
839.1388978178146,858,0.9780173634240263
933.9803586603523,1004,0.9302593213748529
953.0900768600471,1058,0.900841282476415
913.2698473378426,1091,0.8370942688706166
934.4380506658551,995,0.9391337192621659
970.3356595693422,1027,0.9448253744589505
878.354846994121,905,0.9705578419824541
811.9407542065668,854,0.9507502976657691
978.6265520632725,1079,0.9069754884738391
794.2265381773291,812,0.9781115002183856
985.9483129912604,1075,0.917161221387219
900.9530128596942,1043,0.8638092165481249
823.1485374529916,841,0.9787735284815596
869.286138789213,930,0.934716278267971
905.7547424515892,1041,0.8700814048526313
872.2175958665684,892,0.9778224168907718
868.9646169519042,879,0.9885831819703119
914.5085733452307,962,0.95063261262498
805.3853260220731,827,0.9738637557703422
827.4918884694717,867,0.9544312439094254
857.6188331183233,877,0.9779006078886241
939.6974577715022,1019,0.9221761116501493
954.3847465951039,1059,0.9012131695893333
823.9596936424832,827,0.9963236924334743
949.3220295240808,1039,0.9136881901097986
968.3178933726496,1043,0.928396829695733
980.7897922703514,1036,0.9467082936972504
925.5026490758569,1028,0.9002944057158141
918.2566572442717,1033,0.8889222238569909
828.0610320882661,829,0.9988673487192594
938.7972094271677,990,0.9482800095223916
981.2545563683666,1074,0.9136448383318124
949.0522728763161,1072,0.8853099560413397
829.8370263807217,857,0.9683045815410988
932.5513994491911,997,0.9353574718647855
915.7457903221384,955,0.9588961155205638
784.1548889129933,818,0.9586245585733415
953.5459471167517,1072,0.8895018163402534
908.9508171858963,986,0.921856812561761
966.9951055531529,1097,0.8814905246610327
843.7079458358251,867,0.973134885623789
833.6310491792623,875,0.952721199062014
860.9326178300597,882,0.9761140791724033
835.8821789595352,862,0.969700903665354
843.229774505187,851,0.9908693002411129
815.5892200368805,817,0.9982732191393887
888.4263274187042,960,0.9254440910611502
893.3926005573345,967,0.9238806624170988
794.9689881224147,866,0.9179780463307329
896.2434522374874,1051,0.8527530468482278
805.3372148761956,853,0.944123346865411
904.29380293664,983,0.9199326581247609
909.6467649926492,984,0.9244377693014728
904.7860266960747,1082,0.8362162908466495
906.0608680887153,996,0.9096996667557383
908.4219372969853,956,0.9502321519842943
797.4749951518306,813,0.9809040530772825
983.5189469314056,1085,0.9064690755128162
1019.2757722078909,1062,0.9597700303275809
966.3867296147988,1096,0.8817397168018237
963.6824628179841,1068,0.9023244033876255
885.9092426554046,903,0.981073358422375
835.3111714431647,850,0.9827190252272525
897.36523815529,920,0.9753969979948803
899.5117165750268,912,0.9863067067708626
