somay,distance,may0,may1,may2,may3,reward
1,0.46156223441888167,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
2,0.2886688012785054,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
2,0.2886688012785054,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
2,0.2886688012785054,0.0,0.0,0.0,0.0,1
2,0.2886688012785054,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
2,0.2886688012785054,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
2,0.2886688012785054,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
1,0.5154355403021694,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
0,0,0.0,0.0,0.0,0.0,1
2,0.2886688012785054,0.0,0.0,0.0,0.0,1
2,0.2886688012785054,0.0,0.0,0.0,0.0,1
2,0.2886688012785054,0.0,0.0,0.0,0.0,1
2,0.2886688012785054,0.0,0.0,0.0,0.0,1
2,0.2886688012785054,0.0,0.0,0.0,0.0,1
2,0.2886688012785054,0.0,0.0,0.0,0.0,1
2,0.2886688012785054,0.0,0.0,0.0,0.0,1
2,0.2886688012785054,0.0,0.0,0.0,0.0,1
