good,medium,bad
999,34,0
974,95,0
998,72,0
1049,31,0
1029,34,1
1038,50,18
956,67,6
1019,57,1
1059,29,1
986,90,0
985,147,3
991,97,1
954,107,13
900,155,5
882,234,0
881,188,1
1002,62,6
1025,100,0
953,178,12
1005,101,1
992,82,0
1094,41,0
997,92,0
1000,148,0
965,138,12
829,236,0
806,305,10
848,261,0
987,70,1
980,104,4
1049,146,1
1063,63,7
1017,74,0
1068,57,3
1004,69,2
953,98,0
926,106,17
996,106,2
1049,97,1
960,159,1
1036,80,0
982,156,1
867,191,15
954,127,22
937,154,8
931,204,1
930,133,0
997,85,10
915,106,2
1059,93,1
1024,51,0
976,106,2
1064,64,0
1083,57,1
1022,46,0
972,169,23
929,121,10
1087,72,0
1070,58,1
1014,108,1
1033,104,0
936,176,26
973,112,5
936,146,0
1006,124,2
1039,43,1
1033,32,1
961,133,0
1002,86,9
1021,57,0
967,109,1
882,186,11
883,215,5
875,187,6
887,147,0
958,129,4
1058,66,0
1047,82,3
969,62,0
1003,83,0
941,114,9
950,111,0
986,68,0
926,170,1
871,194,1
837,237,25
832,253,7
819,264,14
825,261,14
892,158,1
995,104,5
1001,105,6
995,125,11
1047,63,1
1039,18,0
980,98,3
1051,82,1
950,60,0
1011,61,0
993,99,4
