somay,distance,may0,may1,may2,may3,reward
1,0.2008587899892413,0.0,0.6022843494837061,0.0,0.0,1
0,0,0.16833333333333333,0.6022843494837061,0.0,0.0,1
0,0,0.33699999999999997,0.6022843494837061,0.0,0.0,1
3,0.2182376913462831,0.33699999999999997,0.6022843494837061,0.0,0.6117072113868155,1
0,0,0.16933333333333334,0.0,0.0,0.0,1
0,0,0.33899999999999997,0.0,0.0,0.0,1
1,0.43457686896982534,0.33899999999999997,0.7209730025992718,0.0,0.0,1
2,0.2886688012785054,0.33899999999999997,0.7209730025992718,0.5578200491859285,0.0,1
2,0.2886688012785054,0.33899999999999997,0.7209730025992718,0.9844867158525952,0.0,1
0,0,0.171,0.0,0.0,0.0,1
0,0,0.3423333333333334,0.0,0.0,0.0,1
1,0.4323295797488582,0.3423333333333334,0.7252696160735911,0.0,0.0,1
2,0.2886688012785054,0.3423333333333334,0.7252696160735911,0.5622502476962181,0.0,1
2,0.2886688012785054,0.3423333333333334,0.7252696160735911,0.9922502476962182,0.0,1
0,0,0.17300000000000001,0.0,0.0,0.0,1
0,0,0.34700000000000003,0.0,0.0,0.0,1
0,0,0.17400000000000002,0.0,0.0,0.0,1
0,0,0.34800000000000003,0.0,0.0,0.0,1
1,0.4278350013069239,0.34800000000000003,0.7322443784682329,0.0,0.0,1
2,0.2886688012785054,0.34800000000000003,0.7322443784682329,0.5705408432270868,0.0,1
2,0.2886688012785054,0.34800000000000003,0.7322443784682329,1.0080408432270869,0.0,1
0,0,0.17500000000000002,0.0,0.008040843227086869,0.0,1
0,0,0.35000000000000003,0.0,0.008040843227086869,0.0,1
1,0.4255877120859568,0.35000000000000003,0.7341594873505749,0.008040843227086869,0.0,1
2,0.2886688012785054,0.35000000000000003,0.7341594873505749,0.5731298713464335,0.0,1
0,0,0.17566666666666667,0.0,0.0,0.0,1
0,0,0.35133333333333333,0.0,0.0,0.0,1
1,0.4233404228649896,0.35133333333333333,0.7362530250820484,0.0,0.0,1
2,0.2886688012785054,0.35133333333333333,0.7362530250820484,0.5758934031900563,0.0,1
2,0.2886688012785054,0.35133333333333333,0.7362530250820484,1.0167267365233896,0.0,1
0,0,0.17700000000000002,0.0,0.01672673652338963,0.0,1
0,0,0.3546666666666667,0.0,0.01672673652338963,0.0,1
0,0,0.17766666666666667,0.0,0.0,0.0,1
0,0,0.35533333333333333,0.0,0.0,0.0,1
1,0.4188458444230553,0.35533333333333333,0.7408496407366717,0.0,0.0,1
0,0,0.17866666666666667,0.0,0.0,0.0,1
