good,medium,bad
985,15,0
940,64,1
937,73,0
981,34,0
968,52,0
994,31,0
1011,18,1
1009,26,0
1005,35,0
1029,14,2
939,109,2
965,86,4
1026,34,0
945,118,2
885,185,0
830,243,2
981,99,0
1043,42,0
1070,20,0
1055,40,0
1028,70,2
1073,32,0
1051,51,8
1019,96,0
1021,99,0
937,188,0
862,247,21
810,313,12
993,142,5
1021,119,5
1091,59,0
1102,52,1
1068,92,0
1097,63,5
950,219,1
1055,118,2
1129,51,0
972,205,8
1101,83,6
1125,70,0
1147,50,3
1097,108,0
1005,203,2
1103,111,1
1066,149,5
1042,168,15
1097,120,13
1141,79,15
1005,229,6
1144,97,4
1124,116,10
1136,102,7
1133,107,0
953,206,76
1158,60,12
943,268,14
1002,215,3
1087,126,2
1048,162,0
1015,183,7
1121,72,7
996,198,1
1089,101,0
1086,96,3
981,179,20
1050,105,20
1116,53,1
1110,55,0
1046,109,5
1030,121,4
1067,71,12
916,223,6
886,241,13
932,203,0
901,222,7
1033,88,4
1014,104,2
1071,38,6
1061,49,0
1043,61,1
995,100,5
1002,92,1
1006,72,12
973,107,5
936,143,1
937,134,4
852,211,7
898,167,0
932,128,0
944,111,0
1019,31,0
968,77,0
972,68,0
1007,28,0
993,36,1
985,40,0
991,29,0
994,21,0
1003,7,0
990,15,0
