server,bus1,bus2,bus3
446,187,201,149,
483,184,236,179,
428,159,208,135,
449,168,214,159,
506,199,242,190,
540,220,245,174,
419,193,191,134,
558,204,252,172,
443,165,210,141,
480,178,228,167,
549,177,250,205,
473,165,219,155,
530,210,228,159,
509,185,171,151,
490,177,116,136,
559,168,138,156,
539,171,240,193,
516,208,205,189,
451,178,202,138,
430,196,167,130,
413,204,167,120,
424,192,210,155,
405,192,190,118,
557,203,227,208,
454,164,212,162,
505,109,214,184,
514,113,187,177,
492,113,136,179,
504,190,179,196,
477,170,193,158,
460,184,187,154,
510,215,234,171,
460,185,193,126,
498,185,231,177,
510,163,241,166,
518,176,232,150,
488,207,216,144,
553,196,243,161,
427,161,201,123,
442,171,212,123,
473,187,204,177,
532,173,227,160,
587,172,237,190,
464,165,198,166,
458,182,145,142,
486,207,147,176,
558,232,169,213,
505,232,215,167,
491,191,167,166,
534,181,245,193,
492,200,232,172,
474,208,212,157,
416,196,200,140,
411,190,190,128,
513,184,237,198,
504,160,198,156,
570,173,230,201,
534,218,247,187,
464,162,216,169,
463,165,197,144,
522,185,235,150,
492,223,215,149,
545,186,237,166,
448,161,191,128,
534,186,230,212,
444,195,215,157,
536,226,253,170,
488,214,219,166,
493,219,221,156,
455,168,207,148,
435,174,182,151,
590,123,249,204,
498,113,221,172,
507,112,240,167,
449,103,202,149,
568,174,252,185,
460,179,219,158,
535,231,252,182,
499,214,206,200,
446,204,215,137,
542,193,234,181,
515,185,229,170,
487,168,233,184,
445,166,181,143,
569,218,111,171,
561,207,113,161,
625,209,125,184,
599,213,129,183,
493,198,99,169,
621,204,139,233,
500,172,223,179,
534,198,229,182,
460,184,201,133,
477,204,216,147,
418,202,191,135,
468,203,238,170,
435,149,196,143,
497,175,203,172,
448,168,187,153,
489,172,196,187,
