good,medium,bad
952,31,0
1004,78,0
879,50,1
982,8,0
1105,32,0
1167,12,0
933,4,0
1164,22,0
952,7,0
1019,30,4
1043,138,0
975,26,11
1090,37,0
899,117,0
779,140,0
720,298,3
1040,103,0
1091,27,0
956,13,0
919,4,0
900,4,0
977,4,0
902,3,0
1109,86,0
920,72,0
891,121,0
871,120,0
736,184,0
967,102,0
962,36,0
969,16,0
1091,39,0
949,15,0
1056,35,0
985,95,0
1057,19,0
1024,31,0
1135,18,0
887,25,0
920,28,0
1017,24,0
1022,70,0
1082,101,3
948,45,0
911,16,0
916,100,0
1095,77,0
1087,32,0
973,42,0
1116,37,0
1086,10,0
1014,37,0
944,8,0
913,6,0
1113,19,0
945,73,0
1019,155,0
1101,81,4
963,48,0
952,17,0
1067,25,0
1042,37,0
1105,29,0
867,61,0
1079,83,0
994,17,0
1163,22,0
1062,25,0
995,84,10
948,30,0
895,47,0
1006,160,0
872,132,0
901,125,0
794,109,0
1082,97,0
958,58,0
1125,75,0
1075,38,6
965,32,5
1066,84,0
1079,20,0
983,89,0
856,79,0
926,143,0
880,162,0
923,220,0
857,266,1
824,135,0
957,240,0
1034,39,1
1042,101,0
965,12,1
1033,11,0
935,9,2
1057,22,0
914,9,0
1015,32,0
950,6,0
1035,9,0
