good,medium,bad
390,105,488
0,0,1082
0,0,930
0,0,990
0,0,1137
0,0,1179
0,0,937
0,0,1186
0,0,959
0,0,1053
0,0,1181
0,0,1012
0,0,1127
0,0,1016
0,0,919
0,0,1021
0,0,1143
0,0,1118
0,0,969
0,0,923
0,0,904
0,0,981
0,0,905
0,0,1195
0,0,992
0,0,1012
0,0,991
0,0,920
0,0,1069
0,0,998
0,0,985
0,0,1130
0,0,964
0,0,1091
0,0,1080
0,0,1076
0,0,1055
0,0,1153
0,0,912
0,0,948
0,0,1041
0,0,1092
0,0,1186
0,0,993
0,0,927
0,0,1016
0,0,1172
0,0,1119
0,0,1015
0,0,1153
0,0,1096
0,0,1051
0,0,952
0,0,919
0,0,1132
0,0,1018
0,0,1174
0,0,1186
0,0,1011
0,0,969
0,0,1092
0,0,1079
0,0,1134
0,0,928
0,0,1162
0,0,1011
0,0,1185
0,0,1087
0,0,1089
0,0,978
0,0,942
0,0,1166
0,0,1004
0,0,1026
0,0,903
0,0,1179
0,0,1016
0,0,1200
0,0,1119
0,0,1002
0,0,1150
0,0,1099
0,0,1072
0,0,935
0,0,1069
0,0,1042
0,0,1143
0,0,1124
0,0,959
0,0,1197
0,0,1074
0,0,1143
0,0,978
0,0,1044
0,0,946
0,0,1079
0,0,923
0,0,1047
0,0,956
0,0,1044
