server,bus1,bus2,bus3
740,118,83,59,
714,106,111,74,
733,133,84,60,
732,123,97,63,
753,122,90,55,
734,142,93,56,
766,149,70,45,
709,164,92,70,
714,121,122,83,
746,128,108,63,
727,115,110,98,
735,129,121,70,
784,126,70,80,
784,124,70,87,
830,88,56,96,
828,98,62,87,
788,121,80,91,
820,106,73,86,
798,126,70,96,
831,115,72,77,
823,125,71,81,
764,165,113,63,
741,183,120,66,
828,114,69,104,
819,111,80,110,
800,93,99,133,
810,94,91,135,
839,77,100,119,
835,110,76,119,
799,124,107,115,
837,121,87,105,
837,146,83,89,
837,147,83,93,
827,145,107,86,
719,145,202,104,
802,145,127,101,
829,160,106,85,
784,163,129,109,
821,139,141,89,
735,179,197,84,
839,140,90,131,
821,141,121,122,
843,122,112,133,
845,135,108,127,
862,123,101,134,
865,128,93,139,
878,116,94,142,
854,165,99,117,
873,121,113,133,
838,142,117,148,
864,158,109,119,
856,155,110,124,
850,169,128,93,
761,146,201,127,
828,139,168,95,
839,127,118,141,
822,125,127,146,
846,158,100,111,
811,132,137,130,
832,139,106,128,
788,161,145,106,
835,141,111,108,
839,127,114,110,
825,139,115,106,
822,121,99,138,
837,133,119,86,
747,177,165,81,
813,161,92,99,
827,156,77,100,
814,135,90,116,
849,112,77,112,
800,104,105,136,
819,86,114,121,
792,98,142,103,
820,101,97,112,
800,139,83,103,
763,124,132,101,
779,159,109,68,
827,118,76,89,
675,196,177,57,
726,153,132,89,
792,126,79,98,
780,108,93,109,
749,127,105,104,
844,97,47,92,
835,91,47,102,
827,82,60,101,
854,81,49,81,
839,85,44,92,
834,76,34,111,
765,112,83,90,
789,111,68,77,
783,128,62,67,
782,123,58,72,
792,121,56,61,
645,161,180,39,
708,108,118,86,
782,105,41,87,
782,114,36,78,
792,92,41,80,
