good,medium,bad
651,77,272
490,246,269
542,179,289
504,115,396
541,145,334
538,136,351
530,159,341
548,181,306
565,248,227
610,207,228
452,102,496
437,245,373
493,230,337
346,133,586
495,160,415
484,144,447
288,207,585
393,139,553
417,124,549
251,137,707
541,178,381
426,149,530
416,188,506
480,105,530
344,119,657
259,269,597
224,267,639
155,276,704
392,135,613
274,186,685
306,216,628
158,190,807
355,126,679
180,188,797
298,174,698
248,82,845
256,189,735
285,107,793
111,178,901
175,132,888
0,18,1182
0,0,1205
0,0,1210
0,0,1215
0,0,1220
0,0,1225
0,0,1230
0,0,1235
0,0,1240
0,0,1245
0,0,1250
0,0,1245
0,0,1240
0,0,1235
0,0,1230
0,0,1225
0,0,1220
0,0,1215
0,0,1210
0,0,1205
0,0,1200
0,0,1195
0,0,1190
0,0,1185
0,0,1180
0,0,1175
0,0,1170
0,0,1165
0,0,1160
0,0,1155
0,0,1150
0,0,1145
0,0,1140
0,0,1135
0,0,1130
139,86,900
85,156,879
384,137,594
318,98,694
334,164,607
461,94,545
374,147,574
432,198,460
370,152,563
523,200,357
517,201,357
399,245,426
566,242,257
386,144,530
537,182,336
410,210,430
562,156,327
535,303,202
516,98,421
445,161,424
521,218,286
495,144,381
549,89,377
608,110,292
523,210,272
