somay,distance,may0,may1,may2,may3,reward
0,0,0.167,0.0,0.0,0.0,1
0,0,0.33433333333333337,0.0,0.0,0.0,1
0,0,0.5026666666666667,0.0,0.0,0.0,1
0,0,0.6713333333333333,0.0,0.0,0.0,1
0,0,0.16866666666666666,0.0,0.0,0.0,1
0,0,0.33766666666666667,0.0,0.0,0.0,1
0,0,0.169,0.0,0.0,0.0,1
0,0,0.3383333333333334,0.0,0.0,0.0,1
0,0,0.5076666666666667,0.0,0.0,0.0,1
0,0,0.6773333333333333,0.0,0.0,0.0,1
0,0,0.847,0.0,0.0,0.0,1
0,0,0.17,0.0,0.0,0.0,1
0,0,0.17066666666666666,0.0,0.0,0.0,1
0,0,0.3416666666666667,0.0,0.0,0.0,1
0,0,0.5126666666666667,0.0,0.0,0.0,1
0,0,0.684,0.0,0.0,0.0,1
0,0,0.17133333333333334,0.0,0.0,0.0,1
0,0,0.34299999999999997,0.0,0.0,0.0,1
0,0,0.5146666666666666,0.0,0.0,0.0,1
0,0,0.6866666666666666,0.0,0.0,0.0,1
0,0,0.17233333333333334,0.0,0.0,0.0,1
0,0,0.3446666666666667,0.0,0.0,0.0,1
0,0,0.5193333333333333,0.0,0.0,0.0,1
0,0,0.694,0.0,0.0,0.0,1
0,0,0.17533333333333334,0.0,0.0,0.0,1
0,0,0.3506666666666667,0.0,0.0,0.0,1
0,0,0.526,0.0,0.0,0.0,1
0,0,0.7016666666666667,0.0,0.0,0.0,1
0,0,0.8773333333333333,0.0,0.0,0.0,1
0,0,1.0533333333333332,0.0,0.0,0.0,1
0,0,0.22933333333333325,0.0,0.0,0.0,1
0,0,0.4056666666666666,0.0,0.0,0.0,1
0,0,0.17633333333333334,0.0,0.0,0.0,1
0,0,0.353,0.0,0.0,0.0,1
0,0,0.5306666666666666,0.0,0.0,0.0,1
0,0,0.17766666666666667,0.0,0.0,0.0,1
0,0,0.35533333333333333,0.0,0.0,0.0,1
0,0,0.5333333333333333,0.0,0.0,0.0,1
0,0,0.17833333333333334,0.0,0.0,0.0,1
0,0,0.357,0.0,0.0,0.0,1
0,0,0.5366666666666666,0.0,0.0,0.0,1
0,0,0.717,0.0,0.0,0.0,1
0,0,0.18033333333333335,0.0,0.0,0.0,1
0,0,0.361,0.0,0.0,0.0,1
0,0,0.5423333333333333,0.0,0.0,0.0,1
0,0,0.724,0.0,0.0,0.0,1
0,0,0.906,0.0,0.0,0.0,1
0,0,1.0883333333333334,0.0,0.0,0.0,0.9959507441252675
0,0,1.2716666666666667,0.0,0.0,0.0,0.827320019018379
0,0,0.45533333333333337,0.0,0.0,0.0,1
0,0,0.6393333333333334,0.0,0.0,0.0,1
0,0,0.8236666666666668,0.0,0.0,0.0,1
0,0,0.18433333333333335,0.0,0.0,0.0,1
0,0,0.369,0.0,0.0,0.0,1
0,0,0.5546666666666666,0.0,0.0,0.0,1
0,0,0.7403333333333333,0.0,0.0,0.0,1
0,0,0.9266666666666666,0.0,0.0,0.0,1
0,0,1.1136666666666666,0.0,0.0,0.0,0.9835650094728875
0,0,0.30099999999999993,0.0,0.0,0.0,1
0,0,0.4883333333333333,0.0,0.0,0.0,1
0,0,0.6763333333333332,0.0,0.0,0.0,1
0,0,0.8649999999999999,0.0,0.0,0.0,1
0,0,1.0546666666666664,0.0,0.0,0.0,1
0,0,1.245333333333333,0.0,0.0,0.0,0.881392128716478
0,0,1.4369999999999996,0.0,0.0,0.0,0.7108063260607684
0,0,0.6289999999999996,0.0,0.0,0.0,1
0,0,0.8213333333333329,0.0,0.0,0.0,1
0,0,0.19266666666666665,0.0,0.0,0.0,1
0,0,0.3853333333333333,0.0,0.0,0.0,1
0,0,0.5786666666666667,0.0,0.0,0.0,1
0,0,0.7723333333333333,0.0,0.0,0.0,1
0,0,0.9663333333333333,0.0,0.0,0.0,1
0,0,1.1606666666666665,0.0,0.0,0.0,0.9759731404774148
0,0,0.35566666666666646,0.0,0.0,0.0,1
0,0,0.5509999999999998,0.0,0.0,0.0,1
0,0,0.7469999999999998,0.0,0.0,0.0,1
0,0,0.9433333333333331,0.0,0.0,0.0,1
0,0,0.19666666666666666,0.0,0.0,0.0,1
0,0,0.3936666666666666,0.0,0.0,0.0,1
0,0,0.591,0.0,0.0,0.0,1
0,0,0.7883333333333333,0.0,0.0,0.0,1
0,0,0.986,0.0,0.0,0.0,1
0,0,0.19799999999999998,0.0,0.0,0.0,1
0,0,0.3963333333333333,0.0,0.0,0.0,1
0,0,0.595,0.0,0.0,0.0,1
0,0,0.7936666666666666,0.0,0.0,0.0,1
0,0,0.19899999999999998,0.0,0.0,0.0,1
0,0,0.39799999999999996,0.0,0.0,0.0,1
0,0,0.597,0.0,0.0,0.0,1
0,0,0.7959999999999999,0.0,0.0,0.0,1
0,0,0.9956666666666666,0.0,0.0,0.0,1
0,0,0.19966666666666666,0.0,0.0,0.0,1
0,0,0.3996666666666666,0.0,0.0,0.0,1
0,0,0.19999999999999998,0.0,0.0,0.0,1
0,0,0.39999999999999997,0.0,0.0,0.0,1
0,0,0.601,0.0,0.0,0.0,1
0,0,0.20133333333333334,0.0,0.0,0.0,1
0,0,0.20299999999999999,0.0,0.0,0.0,1
0,0,0.4063333333333333,0.0,0.0,0.0,1
0,0,0.20333333333333334,0.0,0.0,0.0,1
0,0,0.40700000000000003,0.0,0.0,0.0,1
0,0,0.611,0.0,0.0,0.0,1
0,0,0.8153333333333334,0.0,0.0,0.0,1
0,0,1.0196666666666667,0.0,0.0,0.0,1
0,0,0.22500000000000006,0.0,0.0,0.0,1
0,0,0.43066666666666675,0.0,0.0,0.0,1
0,0,0.6366666666666667,0.0,0.0,0.0,1
0,0,0.8426666666666667,0.0,0.0,0.0,1
0,0,0.20633333333333334,0.0,0.0,0.0,1
