server,bus1,bus2,bus3
740,260,0,0,
751,254,0,0,
762,248,0,0,
765,250,0,0,
761,259,0,0,
762,263,0,0,
763,267,0,0,
773,262,0,0,
787,253,0,0,
787,258,0,0,
802,248,0,0,
800,255,0,0,
790,270,0,0,
809,256,0,0,
800,270,0,0,
827,248,0,0,
816,264,0,0,
810,275,0,0,
820,270,0,0,
817,278,0,0,
815,285,0,0,
828,277,0,0,
827,283,0,0,
836,279,0,0,
836,284,0,0,
870,255,0,0,
873,257,0,0,
869,266,0,0,
855,285,0,0,
869,276,0,0,
861,289,0,0,
861,294,0,0,
867,293,0,0,
874,291,0,0,
888,282,0,0,
887,288,0,0,
884,296,0,0,
893,292,0,0,
893,297,0,0,
896,299,0,0,
901,299,0,0,
903,302,0,0,
907,303,0,0,
911,304,0,0,
916,304,0,0,
918,307,0,0,
924,306,0,0,
926,309,0,0,
931,309,0,0,
935,310,0,0,
939,311,0,0,
933,312,0,0,
929,311,0,0,
926,309,0,0,
923,307,0,0,
919,306,0,0,
914,306,0,0,
911,304,0,0,
908,302,0,0,
903,302,0,0,
900,300,0,0,
895,300,0,0,
894,296,0,0,
888,297,0,0,
884,296,0,0,
883,292,0,0,
877,293,0,0,
873,292,0,0,
871,289,0,0,
866,289,0,0,
863,287,0,0,
859,286,0,0,
856,284,0,0,
853,282,0,0,
846,284,0,0,
846,279,0,0,
843,277,0,0,
832,283,0,0,
830,280,0,0,
822,283,0,0,
826,274,0,0,
822,273,0,0,
827,263,0,0,
825,260,0,0,
803,277,0,0,
808,267,0,0,
805,265,0,0,
799,266,0,0,
788,272,0,0,
803,252,0,0,
796,254,0,0,
784,261,0,0,
775,265,0,0,
771,264,0,0,
762,268,0,0,
756,269,0,0,
766,254,0,0,
762,253,0,0,
765,245,0,0,
755,250,0,0,
