server,bus1,bus2,bus3
527,219,272,15
549,228,270,22
561,198,284,27
565,214,282,19
524,255,276,9
552,249,278,27
478,252,274,25
567,217,267,26
575,223,275,16
573,210,262,31
622,186,279,48
580,203,276,30
592,232,210,40
629,209,161,61
719,215,97,85
715,138,109,108
638,169,242,21
652,248,194,31
633,220,248,42
633,261,188,25
565,256,238,15
589,260,265,21
524,268,276,21
671,226,220,31
615,217,237,46
679,117,202,67
706,110,218,87
775,109,146,79
662,214,163,19
622,202,227,37
671,262,224,39
630,251,231,21
611,238,219,23
623,223,256,26
583,162,304,26
588,179,235,49
556,238,221,34
579,207,263,55
628,209,258,52
572,202,294,52
629,260,205,22
650,185,234,70
632,183,197,61
651,194,222,36
675,243,139,42
694,262,129,51
652,262,122,27
587,262,211,32
615,222,148,38
642,217,255,39
565,251,240,19
575,253,225,31
579,264,259,26
560,248,306,27
573,227,242,26
713,170,209,72
639,173,207,41
622,252,258,27
628,210,267,24
616,219,230,58
609,211,278,39
611,255,223,49
650,181,192,67
604,196,211,71
644,233,221,34
604,238,220,21
510,252,286,18
557,253,253,31
587,249,235,26
604,212,243,19
608,221,217,31
665,113,247,54
715,113,209,66
617,107,287,57
672,114,214,34
591,192,267,41
614,209,281,20
572,259,272,29
557,256,206,12
519,250,293,24
557,209,267,31
589,220,216,36
606,191,238,19
611,190,243,53
685,239,83,59
703,208,82,106
741,148,87,116
745,148,98,106
731,225,84,60
720,176,93,62
615,205,230,54
617,242,220,33
621,244,224,42
595,245,253,18
574,253,228,2
504,252,290,35
627,202,269,36
597,220,175,18
617,214,214,27
652,218,188,38
